mite_acc,reaction,enzyme_name,enzyme_description,tailoring,id_uniprot,id_genpept
MITE0000137,COc1ccc(/C=C2\NC(=O)[C@H](CCCNC(=N)N)NC2=O)cc1OCC[C@H](NC(=O)C[C@](O)(CC(=O)O)C(=O)O)C(=O)O>>COc1ccc(C=C2NC(=O)[C@H](CCCNC(=N)N)NC2=O)cc1OCC[C@H](NC(=O)C[C@](O)(CC(=O)N[C@@H](CC(=O)O)C(=O)O)C(=O)O)C(=O)O,AnkG,ATP-grasp protein,Other,A0A397HPF2,RHZ63466.1
MITE0000180,CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@@H](N)CCCN=C(N)N>>CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)c1ccccc1,SLI_0884,Leucyl/Phenylalanil-tRNA-Protein transferase,Other,A0A7U9H9E4,EOY45603.1
MITE0000139,N=C(N)NCCC[C@@H]1NC(=O)/C(=C/c2ccc(O)c(O)c2)NC1=O>>N=C(N)NCCC[C@@H]1NC(=O)C(=Cc2ccc(O)c(OCC[C@H](N)C(=O)O)c2)NC1=O,AnkD,pyridoxal-phosphate dependent enzyme,Other,A0A397HQN2,RHZ63463.1
MITE0000059,CC1(C)CC2C=C(C(=O)O)[C@@H]3COC(=O)C4(CO4)[C@]23C1>>CC1=C[C@@]23C(C=C(C(=O)O)[C@@H]2COC(=O)C32CO2)[C@@H]1C,PntM,Cytochrome P450,Other,E3VWI3,ADO85571.1
MITE0000103,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSSC(=O)C1=C(O)CC=CC=C1>>O=C(O)C1=C(O)CC=CC=C1,TrlF,decarboxylase hydrolase,Other,A0A2S1JZI6,AWF83810.1
MITE0000195,N[C@@H](CCCC[N+](=O)[O-])C(=O)O>>N[C@@H](C[C@@H]1C[C@H]1[N+](=O)[O-])C(=O)O,HrmJ,alpha-ketoglutarate-dependent dioxygenase,Other,F8S6W1,AEH41788.1
MITE0000184,CSCC[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O>>CSCC[C@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)c([N+](=O)[O-])c1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,RufO,Cytochrome p450 monooxygenase,Other,A0A224AU14,BBA20962.1
MITE0000110,CO[C@H]1C[C@H]2C=C[C@H]3[C@H]4O[C@]2(C(C)=C[C@@H](C)[C@@H]([C@H](C)O)OC1=O)[C@@H]3[C@@H](O)[C@@H](C)[C@H]4O>>CO[C@H]1C[C@H]2C=C[C@H]3[C@H]4O[C@]2(C(C)=C[C@@H](C)[C@@H]([C@H](C)O)OC1=O)[C@@H]3[C@@H](O)[C@@H](C)[C@H]4OC(=O)c1ccc[nH]1,NgnN4,Proline adenyltransferase,Other,A0A3S7PZH4,AXG22420.1
MITE0000168,Cc1cc(O)c(C)c2c1Oc1c(C)c(O)cc(C)c1C(=O)O2>>CC1=C2OC(=O)c3c(C)cc(O)c(C)c3O[C@@H]2[C@@](C)(O)[C@H](O)C1=O,ProsA,Cytochrome P450,Oxidation,,WPM83320.1
MITE0000066,O=C(O)c1[nH]c(C(=O)O)c(-c2c[nH]c3c(Cl)cccc23)c1-c1c[nH]c2c(Cl)cccc12>>O=C(O)c1[nH]c(C(=O)O)c2c1c1c3cccc(Cl)c3[nH]c1c1[nH]c3c(Cl)cccc3c12,RebP,Cytochrome P-450,Oxidation,Q8KIC8,AAN01211.1
MITE0000070,O=C(O)c1[nH]c(C(=O)O)c2c1c1c3cccc(Cl)c3[nH]c1c1[nH]c3c(Cl)cccc3c12>>O=C1NC(=O)c2c1c1c3cccc(Cl)c3[nH]c1c1[nH]c3c(Cl)cccc3c21,RebC,Putative FAD-monooxygenase,Oxidation,Q8KI25,AAN01210.1
MITE0000190,CC(=C\c1ccc([N+](=O)[O-])cc1)/C=C(\C)CCc1oc(O)c(C)c(=O)c1C>>CC(=Cc1ccc([N+](=O)[O-])cc1)C=C1COC(c2oc(O)c(C)c(=O)c2C)C1,AurH,Cytochrome P450 Monooxygenase,Oxidation,Q70KH6,CAE02604.1
MITE0000068,NC(Cc1c[nH]c2c(Cl)cccc12)C(=O)O>>O=C(O)C(=O)Cc1c[nH]c2c(Cl)cccc12,RebO,Flavin-dependent L-tryptophan oxidase,Oxidation,Q8KHS0,AAN01208.1
MITE0000088,C/C=C(C)/C=C(C)/C(O)=C(/C)C(=O)[S-]>>C/C=C(\C)C1OC1(C)C(O)=C(C)C(=O)[S-],TlmF,cytochrome P450,Oxidation,A0A0P0G6I4,ALJ49912.1
MITE0000091,CC(C)=CCC/C(C)=C\CCC1(C)C2CC3C(C2)C31C>>CC(C)=CCCC(C)(O)C(=O)CCC1(C)C2CC3C(C2)C31C,CYP71BN1,Cytochrome P450 monooxygenase,Oxidation,K4CI56,AGK82807.1
MITE0000064,CC1=CC2CC(C)(C)C[C@@]23[C@H](C)CC[C@@H]13>>C[C@@H]1CC[C@H]2C(C=O)=CC3CC(C)(C)C[C@]312,PtlI,Cytochrome P450,Oxidation,Q82IY3,BAC70710.1
MITE0000187,NCCCC[C@H](N)C(=O)O>>N[C@@H](CCCC[N+](=O)[O-])C(=O)O,HrmI,heme oxygenase-like dinuclear iron enzyme,Oxidation,F8S6W0,AEH41787.1
MITE0000057,C[C@@H]1C(=O)C[C@H]2C(C(=O)O)=CC3CC(C)(C)C[C@]312>>C[C@@H]1C(=O)OC[C@H]2C(C(=O)O)=CC3CC(C)(C)C[C@]312,PntE,Baeyer-Villiger monooxygenase,Oxidation,E3VWI7,ADO85575.1
MITE0000108,C=C/C(C)=C/C[C@H]1C(=C)CC[C@H]2C(C)(C)CCC[C@]12C>>C=C/C(C)=C/C[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2C[C@H](O)[C@@]12CO2,CldC,Cytochrome P450,Oxidation,A0A0H5B5M5,BAR97452.1
MITE0000065,C[C@@H]1C(=O)C[C@H]2C(C(=O)O)=CC3CC(C)(C)C[C@]312>>C[C@@H]1C(=O)OC[C@H]2C(C(=O)O)=CC3CC(C)(C)C[C@]312,PtlE,Baeyer-Villiger monooxygenase,Oxidation,Q82IY8,BAC70705.1
MITE0000060,CC1=CC2CC(C)(C)C[C@@]23[C@H](C)CC[C@@H]13>>C[C@@H]1CC[C@H]2C(C(=O)O)=CC3CC(C)(C)C[C@]312,PntI,Cytochrome P450,Oxidation,E3VWJ1,ADO85579.1
MITE0000097,O=c1[nH]cc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1>>O=C[C@H]1O[C@@H](c2c[nH]c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,PumI,Oxidoreductase,Oxidation,A0A2R4FXY7,AVT42378.1
MITE0000151,C/C=C(\C)CCCCCCC/C=C\C=C\C=C/Cc1cc(O)cc(O)c1>>C/C=C(/CCCCCCC/C=C\C=C\C=C/Cc1cc(O)cc(O)c1)C(=O)O,PspC,Cytochrome P450 monooxygenase,Oxidation,P0DUK3,
MITE0000084,Oc1cc(O)c2c(O)cc(O)cc2c1>>O=C1C(O)=CC(=O)c2c(O)cc(O)cc21,NapB2,Monooxygenase,Oxidation,A7KGZ3,ABS50452.1
MITE0000067,O=C(O)C(=O)Cc1c[nH]c2c(Cl)cccc12>>O=C(O)c1[nH]c(C(=O)O)c(-c2c[nH]c3c(Cl)cccc23)c1-c1c[nH]c2c(Cl)cccc12,RebD,Dichlorochromopyrrolate synthase,Oxidation,Q8KHV6,AAN01209.1
MITE0000162,Cc1cc(O)c2c(c1)Cc1cc(O)cc(O)c1C2=O>>Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,PhoG,Anthrone oxygenase,Oxidation,UPI00206D4B6A,UPG58736.1
MITE0000083,COc1cc(O)cc(CCCCCCCCCCCCC(C)C)c1O>>COc1cc(OCC=C(C)CCC=C(C)CCC=C(C)C)cc(CCCCCCCCCCCCC(C)C)c1O,AgqD,UbiA-like prenyltransferase,Prenylation,I0HIZ2,BAL92979.1
MITE0000169,Cc1cc(O)c(C)c2c1Oc1c(C)c(O)cc(C)c1C(=O)O2>>CC1=C2OC(=O)c3c(C)cc(O)c(C)c3O[C@@H]2[C@@](C)(O)[C@H](O)C1=O,ProsC,Short-chain dehydrogenase/reductase,Reduction,,WPM83322.1
MITE0000160,Cc1cc(O)c2c(O)c3c(c(O)c2c1)CC(O)=CC3=O>>Cc1cc(O)c2c(O)c3c(c(O)c2c1)C[C@H](O)CC3=O,PhoC,Short-chain dehydrogenases/reductase (SDR),Reduction,UPI00205CF1EC,UPG58732.1
MITE0000118,C=C1C=C([C@H](O)CCCCCCC)C(=O)O1>>CCCCCCC[C@@H](O)C1=CC(C)OC1=O,AcaR,NADPH-dependent oxidoreductase,Reduction,A0A5C4KWK7,TNB95040.1
MITE0000181,O=C(O)C(=O)Cc1ccccc1>>O=C(O)[C@@H](O)Cc1ccccc1,FrsC,specialized dehydrogenase for phenyllactate biosynthesis,Reduction,A0A7S9SW80,QPI18725.1
MITE0000017,CO[C@H](C(=O)[C@H](O)C(C)=O)[C@@H]1Cc2cc3cc(OC4CC(OC5CC(O)C(O)C(C)O5)C(O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1>>CO[C@H](C(=O)[C@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(OC4CC(OC5CC(O)C(O)C(C)O5)C(O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1,MtmW,ketoreductase,Reduction,Q194Q1,CAK50787.1
MITE0000124,CC(=O)Cc1cc2cccc(O)c2c(O)c1C(=O)C[C@H](C)O>>C[C@H](O)CC(=O)c1c(C[C@@H](C)O)cc2cccc(O)c2c1O,JuiL,F420-dependent oxidoreductase,Reduction,A0A7G8Z072,QNL10607.1
MITE0000117,C=C1C=C(/C=C/c2ccc(O)cc2)C(=O)O1>>C[C@@H]1C=C(/C=C/c2ccc(O)cc2)C(=O)O1,StoR,NAD(P)H-dependent oxidoreductase,Reduction,,TMU76675.1
MITE0000164,C[C@@H]1CC(=O)C(C(=O)c2c(O)cccc2O)=C(CO)C1=O>>C[C@@H]1CC(O)=C2C(=O)c3c(O)cccc3O[C@]2(CO)[C@@H]1O,PhoP,Short-chain dehydrogenases/reductase,Reduction,UPI00205EBDF6,UPG58745.1
MITE0000157,Cc1cc(O)c(C(=O)c2c(O)cccc2O)c(C(=O)O)c1>>Cc1cc(O)c(C(=O)c2c(O)cccc2O)c(CO)c1,PhoL,Short-chain dehydrogenases/reductase,Reduction,UPI00205DA260,UPG58741.1
MITE0000182,NC(=O)OC[C@@H]1N=C(N)N2CCC(O)(O)[C@@]23NC(N)=N[C@@H]13>>NC1=N[C@H]2[C@H](COC(=O)NS(=O)(=O)O)N=C(N)N3CCC(O)(O)[C@]23N1,SxtN,N-sulfotransferase,Sulfonation,A0A3G2KSQ1,AYN62308.1
